Project,TransactionPrice,Area,SaleDate,SaleType,PropertyType,Tenure,CompletionDate,NumberofUnits,PurchaserType,PostalCode,Floor,MaxFloor
BANYAN CONDOMINIUM,0,1625.36,2001-11-21,Resale,Condominium,Freehold,1995,1,Private,119749,4,4
THE TRILLIUM,0,1399.32,2017-04-13,Resale,Condominium,Freehold,2010,1,Private,239434,19,29
ST MARTIN RESIDENCE,0,2981.63,2007-06-02,Resale,Condominium,Freehold,2000,1,Private,257992,4,4
KERRISDALE,0,1485.43,2002-08-19,New Sale,Condominium,99 yrs from 02/04/1998,2005,1,HDB,207852,23,30
J GATEWAY,0,678.13,2013-07-25,New Sale,Condominium,99 yrs from 28/08/2012,Uncompleted,1,Private,608535,17,38
SENNETT RESIDENCE,0,1302.44,2013-04-08,New Sale,Condominium,99 yrs from 28/11/2011,Uncompleted,1,Private,348232,14,18
FABER CREST,0,1743.77,2003-08-21,Resale,Condominium,99 yrs from 12/06/1996,2001,1,Private,129196,3,4
L'VIV,0,990.29,2012-10-01,New Sale,Apartment,Freehold,Uncompleted,1,Private,307955,14,32
URBAN SUITES,0,1044.11,2011-03-16,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,229158,7,20
THOMSON 800,0,1420.85,1999-01-08,New Sale,Condominium,Freehold,1999,1,HDB,298187,6,20
JERVOIS JADE APARTMENTS,0,1140.98,2000-12-29,New Sale,Apartment,99 yrs from 09/04/1998,2000,1,Private,249114,5,19
THE INTERWEAVE,0,441.32,2011-06-23,New Sale,Apartment,Freehold,Uncompleted,1,HDB,328805,11,21
BLU CORAL,0,2077.45,2008-05-05,New Sale,Condominium,Freehold,Uncompleted,1,HDB,425562,5,5
ST THOMAS SUITES,0,2604.89,2009-07-22,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,238141,28,33
PARK INFINIA AT WEE NAM,0,1334.74,2007-11-27,Sub Sale,Condominium,Freehold,Uncompleted,1,HDB,308366,13,31
THE MAKENA,0,1151.75,1996-04-15,Sub Sale,Condominium,Freehold,1998,1,HDB,437934,12,28
FIFTH AVENUE CONDOMINIUM,0,1388.56,1996-05-10,New Sale,Condominium,Freehold,Uncompleted,1,Private,268800,2,4
RHAPSODY ON MOUNT ELIZABETH,0,1668.42,2006-12-22,New Sale,Apartment,Freehold,2010,1,Private,228513,14,17
BALMORAL RESIDENCES,0,1743.77,2007-07-23,Resale,Condominium,Freehold,2001,1,Private,259910,7,10
BOTANNIA,0,1270.15,2007-09-03,New Sale,Condominium,956 yrs from 27/05/1928,Uncompleted,1,Private,127723,9,12
THE HORIZON,0,1560.78,2003-12-29,Resale,Condominium,Freehold,2001,1,Private,249441,3,11
THE BERTH BY THE COVE,0,3024.68,2005-02-15,New Sale,Condominium,99 yrs from 18/03/2004,Uncompleted,1,Private,98625,6,6
TRE RESIDENCES,0,861.12,2017-10-11,New Sale,Condominium,99 yrs from 23/04/2014,Uncompleted,1,N.A,389783,12,17
PARC ESTA,0,635.08,2019-08-19,New Sale,Apartment,99 yrs from 12/07/2018,Uncompleted,1,Private,408969,12,18
PRINCIPAL GARDEN,0,785.77,2017-06-29,New Sale,Condominium,99 yrs from 21/07/2014,Uncompleted,1,Private,159027,5,24
PARVIS,0,990.29,2010-02-04,New Sale,Condominium,Freehold,Uncompleted,1,Private,278743,7,12
STARVILLE,0,1270.15,2003-08-05,New Sale,Condominium,Freehold,Uncompleted,1,Private,417455,7,12
THE LOFT,0,1065.64,2009-06-10,Resale,Condominium,99 yrs from 24/04/1999,2002,1,HDB,258468,2,4
SUITES @ TOPAZ,0,387.5,2018-07-17,Resale,Apartment,Freehold,2012,1,Private,327849,4,5
VARSITY PARK CONDOMINIUM,0,1636.13,2020-07-06,Resale,Condominium,99 yrs from 03/05/2004,2008,1,Private,126834,3,5
POSHGROVE EAST,0,1237.86,2009-03-30,New Sale,Condominium,Freehold,2008,1,Private,429100,3,5
THE MONTANA,0,548.96,2013-09-18,Resale,Apartment,Freehold,2002,1,Private,249188,7,12
CITY SQUARE RESIDENCES,0,1216.33,2009-05-22,Sub Sale,Condominium,Freehold,2009,1,Private,207226,24,30
UPTOWN @ FARRER,0,828.83,2021-03-24,New Sale,Apartment,99 yrs from 17/04/2017,Uncompleted,1,N.A,218773,17,22
ONE-NORTH RESIDENCES,0,1313.21,2007-03-26,New Sale,Apartment,99 yrs from 15/09/2005,Uncompleted,1,Private,138642,5,15
SHELFORD REGENCY,0,1280.92,1996-05-03,Sub Sale,Condominium,Freehold,1998,1,Private,288455,2,4
LE HILL CONDOMINIUM,0,1205.57,2018-05-22,Resale,Condominium,Freehold,1999,1,Private,118894,2,4
CITY SQUARE RESIDENCES,0,861.12,2009-08-07,Sub Sale,Condominium,Freehold,2008,1,Private,207224,22,30
MUTIARA VIEW,0,1227.1,2007-02-07,Resale,Apartment,Freehold,2000,1,Private,249191,1,11
GEM RESIDENCES,0,1248.62,2017-12-03,New Sale,Condominium,99 yrs from 21/09/2015,Uncompleted,1,HDB,319459,3,38
IDYLLIC SUITES,0,430.56,2012-05-02,New Sale,Apartment,Freehold,Uncompleted,1,Private,398353,2,8
THE SUNNY SPRING,0,1173.28,2006-08-25,Resale,Apartment,Freehold,1998,1,HDB,398074,4,8
BUONA VISTA GARDENS,0,1280.92,1998-06-08,Resale,Condominium,Freehold,1989,1,Private,117687,3,4
THE GARDENS AT BISHAN,0,1969.81,2012-04-30,Resale,Condominium,99 yrs from 22/03/1997,2004,1,Private,575574,20,20
ST MICHAEL REGENCY,0,1248.62,2009-09-03,New Sale,Apartment,Freehold,Uncompleted,1,HDB,328008,7,15
THE REEF AT KING'S DOCK,0,484.38,2021-01-30,New Sale,Condominium,99 yrs from 12/01/2021,Uncompleted,1,N.A,97995,7,10
PARC OASIS,0,1377.79,2003-08-28,Resale,Condominium,99 yrs from 01/12/1991,1994,1,HDB,609777,12,20
THE LINC,0,1291.68,2011-06-01,Resale,Apartment,Freehold,2006,1,HDB,308346,17,18
NORMANTON PARK,0,656.6,2021-01-16,New Sale,Apartment,99 yrs from 22/07/2019,Uncompleted,1,Private,117281,18,24
8@WOODLEIGH,0,1377.79,2009-07-14,New Sale,Condominium,99 yrs from 22/09/2008,Uncompleted,1,Private,357903,8,15
QUEENS,0,1184.04,2002-02-15,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148954,7,38
448@EAST COAST,0,462.85,2012-01-27,New Sale,Apartment,Freehold,Uncompleted,1,HDB,429021,4,5
THE SUITES AT CENTRAL,0,1808.35,2011-05-13,Resale,Condominium,Freehold,2009,1,Private,239899,6,33
THE WOODLEIGH RESIDENCES,0,850.36,2020-07-26,New Sale,Apartment,99 yrs from 18/09/2017,Uncompleted,1,Private,367801,5,13
TANGLIN REGENCY,0,850.36,2018-03-12,Resale,Condominium,99 yrs from 01/05/1994,1998,1,Private,247965,9,16
THE LAURELS,0,882.65,2010-04-13,New Sale,Condominium,Freehold,Uncompleted,1,Private,229660,13,19
FOURTH AVENUE RESIDENCES,0,688.9,2020-11-18,New Sale,Apartment,99 yrs from 07/03/2018,Uncompleted,1,N.A,268672,6,10
THE SPINNAKER,0,1280.92,2013-01-24,Resale,Apartment,Freehold,1999,1,Private,307788,13,14
FYVE DERBYSHIRE,0,656.6,2020-10-17,New Sale,Apartment,Freehold,Uncompleted,1,Private,309461,9,19
BOTANNIA,0,1603.84,2007-05-21,New Sale,Condominium,956 yrs from 27/05/1928,2009,1,Private,127720,5,12
REFLECTIONS AT KEPPEL BAY,0,1506.96,2012-06-06,New Sale,Condominium,99 yrs from 15/03/2006,2011,1,HDB,98417,17,40
NASSIM PARK RESIDENCES,0,3476.77,2008-06-25,New Sale,Condominium,Freehold,Uncompleted,1,Private,258391,2,5
THE SPECTRUM,0,1173.28,2005-06-17,New Sale,Condominium,Freehold,2005,1,HDB,117503,4,5
BUTTERWORTH 8,0,1345.5,2002-02-26,New Sale,Condominium,Freehold,2004,1,HDB,439445,10,18
SIMS URBAN OASIS,0,624.31,2015-03-17,New Sale,Condominium,99 yrs from 29/07/2014,Uncompleted,1,HDB,387390,17,19
SCOTTS SQUARE,0,624.31,2011-11-23,New Sale,Apartment,Freehold,2011,1,Private,228238,22,43
VILLA DE WEST,0,1388.56,1996-10-25,Sub Sale,Condominium,Freehold,1995,1,HDB,118719,1,10
MELROSE PARK,0,4789.98,1999-08-01,New Sale,Condominium,999 yrs from 21/06/1877,2000,1,N.A,248903,19,19
THE FORESTA @ MOUNT FABER,0,721.19,2011-06-07,New Sale,Condominium,Freehold,Uncompleted,1,Private,98751,2,5
SALLIM LODGE,0,1205.57,1997-06-19,Sub Sale,Apartment,Freehold,1995,1,Private,387635,2,4
SIMS GREEN,0,1237.86,2012-03-22,Resale,Apartment,99 yrs from 06/02/2001,2003,1,Private,388134,6,8
SEAHILL,0,495.14,2012-05-28,New Sale,Condominium,99 yrs from 26/09/2011,Uncompleted,1,Private,126778,2,28
CITY SQUARE RESIDENCES,0,570.49,2006-01-26,New Sale,Condominium,Freehold,Uncompleted,1,Private,207227,21,30
VARSITY PARK CONDOMINIUM,0,1550.02,2006-03-26,New Sale,Condominium,99 yrs from 03/05/2004,Uncompleted,1,Private,127363,1,5
EAST PALM,0,1184.04,2004-06-11,New Sale,Apartment,Freehold,2004,1,Private,456448,2,4
NYON,0,484.38,2019-09-10,New Sale,Apartment,Freehold,Uncompleted,1,Private,439858,7,18
SHAW PLAZA - TWIN HEIGHTS,0,1420.85,2003-03-03,Resale,Apartment,Freehold,1999,1,HDB,329779,18,19
ST REGIS RESIDENCES SINGAPORE,0,3896.57,2015-01-23,Resale,Apartment,999 yrs from 24/11/1995,2008,1,Private,247913,20,22
THE PARC CONDOMINIUM,0,1291.68,2007-09-06,New Sale,Condominium,Freehold,2010,1,Private,127159,5,24
ONE-NORTH RESIDENCES,0,516.67,2007-03-28,New Sale,Apartment,99 yrs from 15/09/2005,Uncompleted,1,HDB,138643,5,15
PALM SPRING,0,1851.41,2019-11-14,Resale,Condominium,Freehold,1997,1,Private,259324,3,10
10 SHELFORD,0,452.09,2011-05-25,New Sale,Apartment,Freehold,Uncompleted,1,Private,288353,1,5
HORIZON RESIDENCES,0,1420.85,2010-07-06,New Sale,Condominium,Freehold,Uncompleted,1,Private,118864,2,5
CITY SQUARE RESIDENCES,0,1506.96,2005-05-03,New Sale,Condominium,Freehold,Uncompleted,1,Private,207225,19,30
THE ORCHARD RESIDENCES,0,2174.33,2007-07-04,New Sale,Apartment,99 yrs from 13/03/2006,Uncompleted,1,Private,237973,19,54
THE PARC CONDOMINIUM,0,1302.44,2010-04-16,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,127140,20,24
THE ARTE,0,1399.32,2011-05-24,Resale,Condominium,Freehold,2010,1,Private,329215,28,34
THE MAKENA,0,1291.68,1997-06-21,Sub Sale,Condominium,Freehold,1998,1,Private,437932,3,28
HALLMARK RESIDENCES,0,1517.72,2015-04-10,New Sale,Condominium,Freehold,2015,1,Private,259327,4,11
NASSIM PARK RESIDENCES,0,6953.54,2010-02-26,New Sale,Condominium,Freehold,Uncompleted,1,Private,258461,5,5
N.A.,0,2430.51,2011-06-13,Sub Sale,Apartment,9999 yrs from 01/01/1964,Uncompleted,1,HDB,398762,1,23
GRANDEUR 8,0,1227.1,2003-07-04,New Sale,Condominium,99 yrs from 16/07/2002,2005,1,Private,567748,16,19
JADESCAPE,0,1011.82,2019-05-05,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,N.A,575744,2,23
THE HELICONIA,0,1334.74,2006-11-08,Resale,Condominium,Freehold,2003,1,HDB,419572,1,12
LAKEHOLMZ,0,1496.2,2005-12-27,New Sale,Condominium,99 yrs from 29/10/2001,2005,1,Private,649821,14,17
PARC VISTA,0,1054.87,1996-06-11,New Sale,Condominium,99 yrs from 01/03/1995,1997,1,Private,649813,7,16
MARTIN NO 38,0,1130.22,2008-08-12,New Sale,Apartment,Freehold,Uncompleted,1,Private,239059,5,15
PARK INFINIA AT WEE NAM,0,1582.31,2009-08-19,Resale,Condominium,Freehold,2008,1,Private,308345,16,31
RAFFLESIA CONDOMINIUM,0,1216.33,2004-02-18,New Sale,Condominium,99 yrs from 18/07/1997,2003,1,Private,579801,4,20
RESIDENCES @ EVELYN,0,1528.49,2012-03-01,Resale,Condominium,Freehold,2007,1,Private,309311,20,33
NEWEST,0,2551.07,2013-06-11,New Sale,Apartment,956 yrs from 27/05/1928,Uncompleted,1,Private,128021,3,11
EIGHT RIVERSUITES,0,699.66,2014-09-04,New Sale,Condominium,99 yrs from 11/07/2011,Uncompleted,1,Private,338520,27,29
THE GARDENS AT BISHAN,0,882.65,2013-10-28,Resale,Condominium,99 yrs from 22/03/1997,2004,1,HDB,575575,15,20
THE SIXTH AVENUE RESIDENCES,0,1636.13,2006-12-27,New Sale,Condominium,Freehold,Uncompleted,1,Private,276545,4,5
THE PATERSON,0,1420.85,2012-10-17,Resale,Condominium,Freehold,2004,1,Private,238539,3,21
WATERBANK AT DAKOTA,0,1173.28,2010-05-06,New Sale,Condominium,99 yrs from 07/12/2009,Uncompleted,1,Private,399947,17,20
VIZ AT HOLLAND,0,2389.61,2005-12-03,New Sale,Condominium,Freehold,Uncompleted,1,Private,276750,12,12
ST FRANCIS LODGE,0,1227.1,2014-07-30,Resale,Apartment,Freehold,1998,1,HDB,328074,7,10
THE MAKENA,0,1151.75,1995-10-06,Sub Sale,Condominium,Freehold,1998,1,HDB,437934,5,28
ROBERTSON 100,0,1173.28,2007-04-24,Resale,Apartment,Freehold,2004,1,Private,238250,2,10
HOLLANDIA,0,1377.79,2009-11-06,Resale,Condominium,Freehold,1985,1,Private,278536,1,6
THE INTERLACE,0,1905.23,2011-03-07,New Sale,Condominium,99 yrs from 11/02/2009,Uncompleted,1,Private,109705,10,24
THOMSON VIEW CONDOMINIUM,0,1313.21,1996-04-30,Resale,Condominium,99 yrs from 07/04/1975,1987,1,Private,579599,8,26
PARK COLONIAL,0,570.49,2018-07-05,New Sale,Condominium,99 yrs from 11/10/2017,Uncompleted,1,HDB,357687,4,15
THE POIZ RESIDENCES,0,581.26,2015-11-28,New Sale,Apartment,99 yrs from 17/11/2014,Uncompleted,1,N.A,358473,17,18
KENTISH COURT,0,1054.87,2004-03-26,Resale,Apartment,99 yrs from 01/03/1995,1999,1,HDB,218816,6,6
NATHAN VILLE,0,839.59,1996-02-26,Resale,Condominium,Freehold,1989,1,Private,248743,1,4
THE SIERRA,0,1033.34,2005-02-21,Resale,Apartment,947 yrs from 15/05/1937,1998,1,HDB,277125,14,17
KENTISH COURT,0,1087.16,2001-05-27,Resale,Apartment,99 yrs from 01/03/1995,1999,1,Private,218816,4,6
SOMMERVILLE PARK,0,1302.44,2007-08-07,Resale,Condominium,Freehold,1985,1,Private,259281,11,15
GRANDLINK SQUARE,0,1108.69,2019-09-20,Resale,Apartment,Freehold,2000,1,HDB,399849,7,8
ST REGIS RESIDENCES SINGAPORE,0,1959.05,2007-05-16,New Sale,Apartment,999 yrs from 24/11/1995,Uncompleted,1,Private,247913,14,22
VIVA,0,1528.49,2009-08-28,New Sale,Condominium,Freehold,Uncompleted,1,Private,307465,15,29
WATERSCAPE AT CAVENAGH,0,1184.04,2010-05-14,New Sale,Apartment,Freehold,Uncompleted,1,HDB,229632,6,7
RIDGEWOOD,0,1399.32,1999-08-01,Resale,Condominium,999 yrs from 06/07/1885,1981,1,Private,276694,5,23
TANGLIN VIEW,0,1248.62,2009-06-15,Resale,Condominium,99 yrs from 17/05/1997,2001,1,HDB,159015,8,20
ROBERTSON 100,0,678.13,2011-06-01,Resale,Apartment,Freehold,2004,1,HDB,238250,3,10
N.A.,0,1743.77,1995-12-11,Sub Sale,Condominium,Freehold,1995,1,Private,278535,1,23
WATERMARK ROBERTSON QUAY,0,1033.34,2011-08-23,Resale,Apartment,Freehold,2008,1,Private,238214,9,10
CLOVER BY THE PARK,0,1248.62,2008-07-10,New Sale,Condominium,99 yrs from 10/09/2007,Uncompleted,1,Private,573975,16,39
THE INFINITI,0,1302.44,2009-08-19,Sub Sale,Condominium,Freehold,2008,1,Private,127718,4,12
FABER CREST,0,1270.15,2018-05-14,Resale,Condominium,99 yrs from 12/06/1996,2001,1,Private,129206,4,4
CUBE 8,0,893.41,2019-07-09,Resale,Condominium,Freehold,2013,1,Private,298130,13,35
CAIRNHILL PLAZA,0,2852.46,2019-07-02,Resale,Apartment,Freehold,1978,1,Private,229666,18,35
THE POIZ RESIDENCES,0,1151.75,2015-11-28,New Sale,Apartment,99 yrs from 17/11/2014,Uncompleted,1,HDB,358455,11,18
MARINA COLLECTION,0,3412.19,2019-03-20,Resale,Condominium,99 yrs from 03/01/2007,2011,1,Private,98329,4,4
BOTANNIA,0,1270.15,2009-04-20,New Sale,Condominium,956 yrs from 27/05/1928,Uncompleted,1,Private,127651,2,12
WATERFRONT @ FABER,0,1388.56,2016-01-26,New Sale,Apartment,99 yrs from 17/09/2013,Uncompleted,1,N.A,128991,3,5
THE MAYFAIR,0,1184.04,1998-10-18,New Sale,Condominium,99 yrs from 04/12/1996,2000,1,HDB,609480,10,20
QUEENS,0,1194.8,2002-03-04,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,HDB,148954,3,38
HUNDRED TREES,0,914.94,2020-11-17,Resale,Condominium,956 yrs from 27/05/1928,2013,1,HDB,127997,11,12
THE VINES,0,1173.28,2003-09-17,New Sale,Apartment,Freehold,2003,1,HDB,416736,4,5
ASTOR,0,1108.69,2017-05-15,Resale,Apartment,99 yrs from 12/08/2002,2006,1,Private,417660,8,12
CARIBBEAN AT KEPPEL BAY,0,1227.1,2011-01-24,Resale,Condominium,99 yrs from 16/08/1999,2004,1,Private,98656,2,10
HILLCREST ARCADIA,0,1797.59,2012-05-08,Resale,Condominium,99 yrs from 01/12/1975,1980,1,Private,289850,4,14
PARC VISTA,0,1280.92,1996-01-31,New Sale,Condominium,99 yrs from 01/03/1995,1998,1,HDB,649810,13,16
UE SQUARE,0,1001.05,1997-07-21,Sub Sale,Apartment,929 yrs from 01/01/1953,1997,1,Private,238274,2,18
MANDALE HEIGHTS,0,764.24,2002-01-08,New Sale,Apartment,Freehold,2004,1,HDB,308225,6,18
GUILIN COURT,0,1248.62,2009-10-23,Resale,Apartment,Freehold,1995,1,Private,398485,6,8
PARK WEST,0,871.88,2010-03-22,Resale,Condominium,99 yrs from 08/03/1982,1985,1,HDB,128802,2,16
ALEXIS,0,635.08,2009-03-03,New Sale,Apartment,Freehold,Uncompleted,1,Private,159949,2,6
EUHABITAT,0,527.44,2011-11-14,New Sale,Condominium,99 yrs from 06/12/2010,Uncompleted,1,HDB,415870,5,5
THE SHORE RESIDENCES,0,893.41,2010-12-10,New Sale,Condominium,103 yrs from 18/08/2009,Uncompleted,1,Private,439897,17,20
VALLEY PARK,0,796.54,1995-09-01,New Sale,Condominium,999 yrs from 21/06/1877,1997,1,Private,248368,11,20
ORCHARD BEL AIR,0,3250.73,2006-03-09,Resale,Condominium,99 yrs from 01/08/1980,1984,1,Private,248648,13,25
REFLECTIONS AT KEPPEL BAY,0,1356.26,2012-08-30,Sub Sale,Condominium,99 yrs from 15/03/2006,2011,1,Private,98419,30,40
PARC VISTA,0,1270.15,1999-06-14,Sub Sale,Condominium,99 yrs from 01/03/1995,1997,1,HDB,649815,2,16
THOMSON 800,0,1399.32,1999-04-28,New Sale,Condominium,Freehold,1999,1,Private,298187,12,20
TANGLIN PARK,0,1603.84,1999-02-05,Resale,Condominium,Freehold,1989,1,Private,248473,4,8
THE PIER AT ROBERTSON,0,678.13,2006-12-11,Resale,Apartment,Freehold,2006,1,Private,239013,10,10
LANGSTON VILLE,0,947.23,1999-04-01,New Sale,Apartment,999 yrs from 01/07/1841,2000,1,N.A,239328,6,10
DUCHESS CREST,0,1862.17,1999-05-01,New Sale,Condominium,99 yrs from 24/06/1995,1998,1,N.A,269197,1,4
NEWTON EDGE,0,1280.92,2008-12-22,New Sale,Apartment,Freehold,Uncompleted,1,Private,228598,18,18
ONE AMBER,0,958.0,2010-10-26,Sub Sale,Condominium,Freehold,2010,1,Private,439958,13,23
WILKIE 87,0,1227.1,2006-09-19,Resale,Apartment,Freehold,2004,1,Private,228084,3,6
J GATEWAY,0,958.0,2013-07-24,New Sale,Condominium,99 yrs from 28/08/2012,Uncompleted,1,Private,608535,1,38
PARC OASIS,0,1227.1,2002-12-04,Resale,Condominium,99 yrs from 01/12/1991,1994,1,Private,609775,6,20
VARSITY PARK CONDOMINIUM,0,1313.21,2006-02-10,New Sale,Condominium,99 yrs from 03/05/2004,Uncompleted,1,Private,126837,2,5
ARDMORE PARK,0,2884.75,1996-07-29,New Sale,Condominium,Freehold,Uncompleted,1,Private,259955,16,29
AVENUE SOUTH RESIDENCE,0,527.44,2020-11-16,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,HDB,168877,26,56
DORMER PARK,0,1248.62,1996-11-01,Resale,Condominium,Freehold,1993,1,Private,249047,3,10
STIRLING RESIDENCES,0,678.13,2020-12-09,New Sale,Apartment,99 yrs from 18/08/2017,Uncompleted,1,Private,148961,36,40
CITYLIGHTS,0,688.9,2005-01-11,New Sale,Condominium,99 yrs from 05/01/2004,Uncompleted,1,Private,208745,33,41
THE INFINITI,0,1270.15,2006-10-13,New Sale,Condominium,Freehold,Uncompleted,1,HDB,127714,7,12
BLUE HORIZON,0,904.18,2017-12-18,Resale,Condominium,99 yrs from 14/08/2000,2005,1,Private,128048,5,24
VACANZA @ EAST,0,1011.82,2011-09-08,New Sale,Condominium,Freehold,Uncompleted,1,Private,417396,3,12
THE LADYHILL,0,3261.49,2004-10-28,New Sale,Condominium,Freehold,2002,1,Private,258670,1,4
THOMSON THREE,0,1044.11,2013-11-06,New Sale,Apartment,99 yrs from 07/11/2012,Uncompleted,1,HDB,573895,8,21
GEM RESIDENCES,0,947.23,2017-09-16,New Sale,Condominium,99 yrs from 21/09/2015,Uncompleted,1,HDB,319459,11,38
THE SHORE RESIDENCES,0,592.02,2010-02-02,New Sale,Condominium,103 yrs from 18/08/2009,Uncompleted,1,HDB,439897,10,20
CASA AERATA,0,548.96,2019-03-28,Resale,Apartment,Freehold,2012,1,HDB,398484,5,8
ELIZABETH TOWER,0,2002.1,2016-02-26,Resale,Apartment,Freehold,1980,1,Private,228512,26,26
MARTIN NO 38,0,968.76,2015-05-14,Resale,Apartment,Freehold,2011,1,Private,239059,7,15
SHIRO,0,452.09,2012-06-15,New Sale,Apartment,Freehold,Uncompleted,1,HDB,426025,3,5
MOONSTONE VIEW,0,473.62,1998-02-02,New Sale,Apartment,Freehold,2000,1,HDB,328496,5,8
BISHAN 8,0,979.52,1998-06-02,New Sale,Condominium,99 yrs from 09/10/1996,2000,1,Private,574045,4,10
PALM VISTA,0,990.29,2007-07-11,New Sale,Apartment,Freehold,2008,1,HDB,426225,2,5
DOVER PARKVIEW,0,1248.62,1996-01-20,New Sale,Condominium,99 yrs from 01/12/1993,1997,1,HDB,138685,13,16
PEBBLE BAY,0,2809.4,1997-03-24,New Sale,Condominium,99 yrs from 09/03/1994,1997,1,Private,436921,2,17
PARC SOPHIA,0,731.95,2008-07-15,New Sale,Apartment,Freehold,Uncompleted,1,Private,229975,6,7
KEMBANGAN PLAZA,0,882.65,2012-03-08,Resale,Apartment,Freehold,1993,1,HDB,418944,3,4
PARC ESTA,0,1227.1,2020-01-14,New Sale,Apartment,99 yrs from 12/07/2018,Uncompleted,1,Private,408970,15,18
CALARASI,0,1227.1,2001-09-03,New Sale,Apartment,Freehold,2004,1,Private,328882,5,17
VACANZA @ EAST,0,1915.99,2012-08-14,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417393,12,12
THE METZ,0,1054.87,2004-12-20,New Sale,Condominium,Freehold,Uncompleted,1,Private,239864,18,27
QUEENS,0,1194.8,2021-03-24,Resale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148957,10,38
AVENUE SOUTH RESIDENCE,0,527.44,2020-10-25,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,N.A,168878,37,56
MELROSE VILLE,0,516.67,2010-03-10,New Sale,Apartment,Freehold,Uncompleted,1,HDB,437370,3,5
MANHATTAN MANSIONS,0,2195.86,1999-12-01,Resale,Apartment,Freehold,1994,1,Private,249580,6,10
SIMSVILLE,0,1237.86,1995-10-01,New Sale,Condominium,99 yrs from 01/12/1994,1998,1,Private,389757,10,16
NEU AT NOVENA,0,818.06,2019-10-19,New Sale,Apartment,Freehold,Uncompleted,1,HDB,308140,8,17
TWIN VEW,0,1140.98,2018-06-12,New Sale,Apartment,99 yrs from 15/05/2017,Uncompleted,1,Private,126755,18,36
ONE AMBER,0,958.0,2006-08-23,New Sale,Condominium,Freehold,Uncompleted,1,HDB,439957,14,23
SUITES @ SIMS,0,344.45,2010-11-08,New Sale,Apartment,Freehold,Uncompleted,1,HDB,387544,4,5
QUEENS PEAK,0,441.32,2017-12-13,Sub Sale,Condominium,99 yrs from 28/09/2015,Uncompleted,1,HDB,149457,23,44
THE WINDSOR,0,2454.19,2019-10-11,Resale,Condominium,Freehold,1989,1,Private,576197,1,4
PARKSHORE,0,1668.42,1996-04-26,Sub Sale,Condominium,Freehold,1995,1,Private,436917,6,14
ASCENTIA SKY,0,947.23,2010-05-06,New Sale,Condominium,99 yrs from 26/03/2008,Uncompleted,1,Private,158748,38,45
SCOTTS SQUARE,0,635.08,2015-05-27,Resale,Apartment,Freehold,2011,1,Private,228238,22,43
MIRAGE TOWER,0,570.49,1999-05-08,Resale,Condominium,Freehold,1996,1,Private,239426,22,33
PARC ESTA,0,839.59,2020-06-23,New Sale,Apartment,99 yrs from 12/07/2018,Uncompleted,1,Private,408968,3,18
ORION,0,1776.06,2007-07-24,Sub Sale,Apartment,Freehold,2008,1,Private,258333,2,26
TANGLIN REGENCY,0,1259.39,1999-04-01,Resale,Condominium,99 yrs from 01/05/1994,1998,1,HDB,247966,8,16
SOPHIA RESIDENCE,0,1453.14,2009-08-19,New Sale,Condominium,Freehold,Uncompleted,1,Private,228196,9,14
RV RESIDENCES,0,688.9,2013-09-19,New Sale,Condominium,999 yrs from 21/06/1877,Uncompleted,1,Private,248350,7,7
SEASCAPE,0,4122.61,2010-11-09,New Sale,Condominium,99 yrs from 09/06/2007,Uncompleted,1,Private,98309,8,8
CITY SQUARE RESIDENCES,0,1237.86,2005-05-10,New Sale,Condominium,Freehold,Uncompleted,1,Private,207223,17,30
RIVERGATE,0,1722.24,2006-12-05,Sub Sale,Apartment,Freehold,2009,1,Private,238257,7,42
SANT RITZ,0,958.0,2016-07-10,New Sale,Condominium,99 yrs from 01/10/2012,2016,1,HDB,348196,16,19
PLATINUM EDGE,0,796.54,2005-07-05,New Sale,Apartment,Freehold,2007,1,HDB,358847,2,18
GALLOP GABLES,0,2174.33,2009-06-02,Resale,Condominium,Freehold,1997,1,Private,268853,1,5
ASTORIA PARK,0,1173.28,2007-06-27,Resale,Condominium,99 yrs from 01/05/1993,1995,1,Private,416827,8,15
HERITAGE VIEW,0,968.76,1997-09-19,New Sale,Condominium,99 yrs from 12/08/1996,2000,1,Private,138679,4,20
THE SHORE RESIDENCES,0,893.41,2011-02-01,New Sale,Condominium,103 yrs from 18/08/2009,Uncompleted,1,Private,439897,17,20
PARC CLEMATIS,0,452.09,2019-08-31,New Sale,Apartment,99 yrs from 08/08/2019,Uncompleted,1,Private,128824,2,24
TREVISTA,0,1140.98,2012-03-22,Sub Sale,Condominium,99 yrs from 15/07/2008,2011,1,HDB,319582,21,39
THE SIXTH AVENUE RESIDENCES,0,1356.26,2009-04-21,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,276543,3,5
